X,Y,FID,NOMBRE,DIRECCION,TELEFONO,HORARIO,WEB,Foto,Texto,Texto2,GlobalID,CreationDate,Creator,EditDate,Editor
-5.987133,37.370965,1,Museo Arqueológico,"Plaza de Amorica, s/n",954786465,"Mar -Sdb 9.00-20:30h / Dom y festivos 9-14:30h. Festivos, consultar",http://www.museosdeandalucia.es/culturaydeporte/museos/MASE/,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/Museo Arqueologico.jpg,"El Museo Arqueológico Provincial de Sevilla fue constituido como consecuencia del Decreto de 1867 sobre Museos Arqueológicos, entonces llamados Museos de Antigüedades. En la gestación del museo fueron decisivas las intervenciones de la Junta de Museos de","Sevilla, creada en 1835 para hacerse cargo de los objetos de arte de los conventos suprimidos, y de la Comisión Provincial de Monumentos, creada en su lugar en 1844.",{F02403F2-BEDC-4B64-8BE1-C77481E528DC},2015/01/27 18:55:41,Urbanismo,2015/06/22 06:57:25,Urbanismo
-5.987839,37.372076,2,Museo de Artes y Costumbres Populares,"Plaza de Amtrica, 3 - Pabellón Mudejar, Parque de Maria Luisa",954712391,"Mar -Sdb 9.00-20:30h / Dom y festivos 9-14:30h. Festivos, consultar",http://www.museosdeandalucia.es/culturaydeporte/museos/MACSE/,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/Museo de las Artes y Costumbres Populares.jpg,"Costumbres Populares de Sevilla, está localizado en el Parque de María Luisa, dentro de la Plaza de América. Ocupa el Pabellón Mudéjar, edificio construido en 1914, por el arquitecto Aníbal González, con motivo de la Exposición Iberoamericana de Sevilla.",,{9065A6B3-3CDC-4051-8C1C-77954938A5CB},2015/01/27 18:55:41,Urbanismo,2015/06/22 06:56:03,Urbanismo
-5.988946,37.385693,3,Museo Casa de Murillo,"C/ Santa Teresa, 8",955037263,Lun-Vie 10-14h,http://es.wikipedia.org/wiki/Museo_Casa_de_Murillo,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/museo casa murillo.jpg,"La Casa Museo fue creada en el año 1972 aunque se inauguró en 1982, haciendo coincidir esta fecha con el bicentenario de su fallecimiento.  En el año 1988 se iniciaron unas reformas que terminaron por transformar el edificio en oficinas.  En el año 2010","se acometió una nueva reforma en la Casa con la intención de dejarla como se pensó en un principio, con el ambiente de 1682, para convertirla de nuevo en museo-monumento en memoria de su honorable habitante Bartolomé Esteban Murillo.",{426C345F-C90E-4786-996A-8F34E4CEE619},2015/01/27 18:55:41,Urbanismo,2015/06/19 11:24:55,Urbanismo
-5.99116,37.389135,4,Museo de Baile Flamenco,"C/ Manuel Rojas Marcos, 3",954340311,Lun-Dom y festivos de 9:30-19h,http://www.museoflamenco.com/,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/Museo de Baile Flamenco.jpg,"La creación del Museo se debe a la iniciativa de la bailaora sevillana Cristina Hoyos. Tras unas obras de remodelación sobre un edificio que data del siglo XVIII, el Museo se inaugura el 7 de abril de 2006. Se compone de un espacio divido en","cuatro plantas, cuyo sótano es también un elemento característico, y en donde se ha conservado el ambiente inicial del edificio.",{2F7E1F0B-EED3-49A5-8A21-75AD8F95BE35},2015/01/27 18:55:41,Urbanismo,2015/06/18 12:22:46,Urbanismo
-5.999737,37.392623,5,Museo de Bellas Artes,"Plaza del Museo, 9",954786502,Mar-S b de 9- 20:30h Dom y festivos de 9-14:30h.Consultar festivos abiertos.,http://www.juntadeandalucia.es/cultura/museobellasartessevilla,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/Museo de Bellas Artes.jpg,"Fue instituido en septiembre del año 1835 e inaugurado oficialmente en 1841. Se ubica en la llamada Plaza del Museo, que está presidida por una escultura dedicada a Bartolomé Esteban Murillo.","Es un museo fundamental para conocer tanto la pintura barroca sevillana, especialmente de Zurbarán, Murillo y Valdés Leal, como la pintura andaluza del siglo XIX.",{4BD18918-7E46-4C0F-B4E4-0B9F1808459A},2015/01/27 18:55:41,Urbanismo,2015/06/18 12:02:19,Urbanismo
-5.996786,37.379431,6,Museo de Carruajes,"Antiguo Instituto Hispano-Cubano - Plaza de Cuba, s/n",954272604,"15 septiembre a 15 de junio: Lun-Vie no festivos: 9-14h / 16:30-19:30h.Stb, Dom y festivos cerrado",http://www.museodecarruajes.com/,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/Museo de Carruajes.jpg,"El Museo de Carruajes de Sevilla se encuentra situado en el antiguo Convento de Los Remedios, en el barrio sevillano del mismo nombre.",,{A853E20F-8E8C-46AC-A3BF-0B0EB9CCD0AE},2015/01/27 18:55:41,Urbanismo,2015/06/18 12:26:40,Urbanismo
-5.996373,37.400236,7,"Museo de la Ciudad, Convento Sta. Clara, Torre D. Fadrique","C/ Santa Clara, 40",954379905,Iglesia: Slb 19.00h / Torre: Lun-Vie 11.00-17.30h,http://espaciosantaclara.org/,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/Museo de la Ciudad Convento de Santa Clara.jpg,"Fue fundado en 1289 por el rey Fernando III de Castilla, y levantado junto a un antiguo palacio perteneciente a su hijo, el infante Fadrique de Castilla. El complejo conventual fue construido entre los siglos XVI y XVII.","Para ello se incrustó literalmente al palacio, una construcción mudéjar levantada tras la conquista cristiana de la ciudad, y de la que únicamente conserva la denominada Torre de don Fadrique, de factura románica y gótica.",{5F0D0FF1-F17D-44A3-AD0A-497375E787E8},2015/01/27 18:55:41,Urbanismo,2015/06/22 06:25:31,Urbanismo
-5.992611,37.394413,8,Museo de la Congregación de Terciarias Franciscanas,"Hospital del Santísimo Cristo de los Dolores / Plaza del Pozon Santo, 1",954219430,"Mar, Jue, Slb y Dom de 12.00-13.30h", ,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/Museo de la Congregacion de Terciarias Franciscanas.jpg,"En 1946 se convirtió en Congregación religiosa de derecho diocesano. Su fundación se debe a dos extraordinarias mujeres: Marta de Jesús, cordobesa de Priego, y Beatriz Jerónima de la Concepción, sevillana, quienes, ya viudas, y después de ejercer su","labor caritativa en otros lugares, compraron en 1667 el solar para la construcción del Hospital del Santísimo Cristo de los Dolores en la plaza del Pozo Santo. Con este nombre se ha conocido en Sevilla este hospital para enfermas e impedidas.",{EABEEE07-E1C2-482C-BE85-057D0365A0A6},2015/01/27 18:55:41,Urbanismo,2015/06/18 12:00:29,Urbanismo
-5.995907,37.384523,9,Museo de la Reales Atarazanas,"C/ Temprado, 1 esquina C/ Dos de Mayo",954901957, ,https://es.wikipedia.org/wiki/Atarazanas_Reales_de_Sevilla,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/museo reales atarazanas.jpg,"Las Atarazanas Reales de Sevilla están situadas en las calles Temprado y Dos de Mayo, barrio del Arenal. Nacen como astilleros en el siglo XIII para la construcción de barcos, tipo galeras. Para su ubicación, se eligieron unos terrenos junto al río fuera",,{1534BDE0-BF32-4D9B-AA23-717157117D87},2015/01/27 18:55:41,Urbanismo,2015/06/22 06:39:43,Urbanismo
-5.99002077199998,37.396310246,10,Museo de Muñecas y Juguetes Antiguos,"C/ Castellar, 43",954387555,"Lun-Vie: 10.30-14.00h;18.00-20.30h", ,http://sig.urbanismosevilla.org/sevilla.art/images/Museos/Museo de Muñecas y Juguetes Antiguos.jpg,"Está centralizado en el Pabellón Mudéjar, edificio historicista de estilo neomudéjar construido en 1914 sobre un proyecto realizado en 1913 que lo sitúa donde ahora se levanta, con motivo de la Exposición Iberoamericana de 1929 por el arquitecto Aníbal",,{2AD17E7F-5770-411A-B723-9609566FABEE},2015/01/27 18:55:41,Urbanismo,2015/06/18 12:00:09,Urbanismo
